country,alcohol
Afghanistan,0.02
Albania,6.68
Algeria,0.96
Andorra,15.48
Angola,5.4
Antigua and Barbuda,7.22
Argentina,10
Armenia,11.35
Australia,10.02
Austria,13.24
Azerbaijan,10.6
Bahamas,8.76
Bahrain,3.66
Bangladesh,0.17
Barbados,6.91
Belarus,15.13
Belgium,10.77
Belize,6.07
Benin,2.15
Bhutan,0.55
Bolivia,5.12
Bosnia and Herzegovina,9.63
Botswana,7.96
Brazil,9.16
Brunei,2.01
Bulgaria,12.44
Burkina Faso,6.98
Burundi,9.47
Cambodia,4.77
Cameroon,7.57
Canada,9.77
Cape Verde,4.96
Central African Republic,3.35
Chad,4.38
Chile,8.55
China,5.91
Colombia,6.17
Comoros,0.36
Congo [DRC],3.3
Congo [Republic],4.2
Cook Islands,3.7
Costa Rica,5.55
Côte d'Ivoire,6.48
Croatia,15.11
Cuba,5.51
Cyprus,9.26
Czech Republic,16.45
Denmark,13.37
Djibouti,1.87
Dominica,7.84
Dominican Republic,6.41
Ecuador,9.38
Egypt,0.37
El Salvador,3.61
Equatorial Guinea,6.08
Eritrea,1.54
Estonia,15.57
Ethiopia,4.02
Fiji,2.43
Finland,12.52
France,13.66
Gabon,9.32
Gambia,3.39
Georgia,6.4
Germany,12.81
Ghana,2.97
Greece,10.75
Grenada,10.35
Guatemala,4.03
Guinea,0.76
Guinea-Bissau,3.68
Guyana,9.5
Haiti,6.61
Honduras,4.48
Hungary,16.27
Iceland,6.31
India,2.59
Indonesia,0.59
Iran,1.02
Iraq,0.4
Ireland,14.41
Israel,2.89
Italy,10.68
Jamaica,5
Japan,8.03
Jordan,0.71
Kazakhstan,10.96
Kenya,4.14
Kiribati,3.71
Kuwait,0.1
Kyrgyzstan,5.09
Laos,6.73
Latvia,12.5
Lebanon,2.23
Lesotho,5.55
Liberia,5.06
Libya,0.11
Lithuania,15.03
Luxembourg,13.01
Macedonia [FYROM],8.51
Madagascar,1.33
Malawi,1.74
Malaysia,0.82
Mali,1.04
Malta,4.27
Mauritania,0.11
Mauritius,3.72
Mexico,8.42
Micronesia,5.5
Moldova,18.22
Mongolia,3.24
Morocco,1.46
Mozambique,2.38
Myanmar [Burma],0.57
Namibia,9.62
Nauru,4.83
Nepal,2.41
Netherlands,10.05
New Zealand,9.62
Nicaragua,5.37
Niger,0.34
Nigeria,12.28
Niue,9.85
North Korea,18.28
Norway,7.81
Oman,0.94
Pakistan,0.06
Palau,10.1
Panama,6.85
Papua New Guinea,3.49
Paraguay,7.88
Peru,6.9
Philippines,6.38
Poland,13.25
Portugal,14.55
Puerto Rico,5.75
Qatar,1.25
Romania,15.3
Russia,15.76
Rwanda,9.8
Saint Kitts and Nevis,9.43
Saint Lucia,11.85
Saint Vincent and the Grenadines,5.44
Samoa,4.8
São Tomé and Príncipe,8.74
Saudi Arabia,0.25
Senegal,0.6
Serbia,11.09
Seychelles,10.59
Sierra Leone,9.72
Singapore,1.55
Slovakia,13.33
Slovenia,15.19
Solomon Islands,1.66
Somalia,0.5
South Africa,9.46
South Korea,
Spain,11.62
Sri Lanka,0.79
Sudan,2.56
Suriname,6.09
Swaziland,5.7
Sweden,10.1
Switzerland,11.06
Syria,1.43
Tajikistan,3.39
Tanzania,6.75
Thailand,7.08
Timor-Leste,0.86
Togo,1.99
Tonga,3.78
Trinidad and Tobago,6.28
Tunisia,1.29
Turkey,2.87
Turkmenistan,4.63
Tuvalu,2.44
Uganda,11.93
Ukraine,15.6
United Arab Emirates,0.54
United Kingdom,13.37
United States,9.44
Uruguay,8.14
Uzbekistan,3.54
Vanuatu,0.93
Venezuela,8.23
Vietnam,3.77
Yemen,0.2
Zambia,3.85
Zimbabwe,5.08
