country,income
Abkhazia,
Afghanistan,
Akrotiri and Dhekelia,
Albania,1525.7235888687
Algeria,2115.1860281031
American Samoa,
Andorra,20737.9451167672
Angola,404.2703016964
Anguilla,
Antigua and Barbuda,11102.9321569272
Argentina,8107.9753648206
Armenia,1109.0337869108
Aruba,
Australia,23929.1643970046
Austria,25370.4658657138
Azerbaijan,1182.9184467424
Bahamas,21507.7152578506
Bahrain,14775.6332563233
Bangladesh,436.6881834413
Barbados,9454.3424635225
Belarus,1871.3936708435
Belgium,24033.7833024564
Belize,3705.0526855135
Benin,357.2500703145
Bermuda,62143.336330962
Bhutan,974.7109253222
Bolivia,1069.018332863
Bosnia and Herzegovina,1854.7914313065
Botswana,3880.2668946629
Brazil,3976.6191677692
British Virgin Islands,
Brunei,18311.8813535688
Bulgaria,2178.4452937536
Burkina Faso,252.2147192581
Burundi,128.296115923
Cambodia,427.5292527253
Cameroon,634.7228137863
Canada,25437.6513362939
Cape Verde,1481.6866843911
Cayman Islands,
Central African Republic,218.6561387392
Chad,308.400900335
Channel Islands,41246.1859897423
Chile,5979.0680279622
China,1464.1076270031
Christmas Island,
Cocos Island,
Colombia,2772.2147279821
Comoros,360.0707875197
"Congo, Dem. Rep.",92.3672561639
"Congo, Rep.",1112.0991801847
Cook Is,
Costa Rica,4521.0119520513
Cote d'Ivoire,578.030607392
Croatia,6025.4554765368
Cuba,3469.8852033178
Cyprus,14411.324179
Czech Republic,7020.190408439
Czechoslovakia,
Denmark,31439.4390985967
Djibouti,789.3938915369
Dominica,5052.6240903284
Dominican Republic,3080.3154955736
East Germany,
Ecuador,1562.3268627816
Egypt,1600.321837804
El Salvador,2438.1436506501
Equatorial Guinea,6888.7670259603
Eritrea,178.6738179038
Eritrea and Ethiopia,
Estonia,5956.4192638688
Ethiopia,149.1918696733
Faeroe Islands,
Falkland Is (Malvinas),
Fiji,2308.1582562654
Finland,26435.0234384715
France,22734.233318188
French Guiana,
French Polynesia,
Gabon,4029.2652655207
Gambia,603.9892861392
Georgia,998.5338478789
Germany,23564.3851678751
Ghana,294.4080168693
Gibraltar,
Greece,13657.7093404374
Greenland,19621.6185902118
Grenada,6366.4549962826
Guadeloupe,
Guam,
Guatemala,1760.7998553849
Guernsey,
Guinea,385.4301951244
Guinea-Bissau,154.1061312507
Guyana,989.2804708769
Haiti,381.4180505426
Holy See,
Honduras,1296.6241766913
"Hong Kong, China",30985.8981444638
Hungary,5639.394595097
Iceland,36128.5924399215
India,577.6567292961
Indonesia,914.5999045861
Iran,1906.5900539013
Iraq,688.9666731701
Ireland,29825.5329634269
Isle of Man,25831.9162167651
Israel,19967.9808816053
Italy,19781.9585268373
Jamaica,
Japan,39295.3062039741
Jersey,
Jordan,2129.7804172728
Kazakhstan,1977.7393676222
Kenya,426.5174886468
Kiribati,785.3736750131
North Korea,
South Korea,13801.8294452493
"United Korea (former)
",
Kosovo,1535.4089006639
Kuwait,24715.5521561634
Kyrgyz Republic,319.4720620668
Lao,407.244290741
Latvia,5046.8624738447
Lebanon,5129.4017731682
Lesotho,416.5360077566
Liberia,186.8010755942
Libya,7194.6217276147
Liechtenstein,74525.0146631909
Lithuania,4873.5042339522
Luxembourg,51927.3609635414
"Macao, China",22024.0501462984
"Macedonia, FYR",1902.2965191763
Madagascar,242.6160691655
Malawi,149.4843298783
Malaysia,4529.6012481466
Maldives,2721.8149204733
Mali,249.9919307692
Malta,10244.2710543499
Marshall Islands,2368.1488334297
Martinique,
Mauritania,532.3746623743
Mauritius,4284.3587382103
Mayotte,
Mexico,5982.6538388954
"Micronesia, Fed. Sts.",2196.2471960023
Moldova,504.5300651523
Monaco,81827.956121315
Mongolia,610.9770599825
Montenegro,1804.0525537533
Montserrat,
Morocco,1530.8507231
Mozambique,312.1619264116
Myanmar,
Namibia,2390.5987947034
Nauru,
Nepal,237.1098462286
Netherlands,25194.3412226978
Netherlands Antilles,
New Caledonia,
New Zealand,15171.5942904559
Ngorno-Karabakh,
Nicaragua,1099.7213453663
Niger,168.1737543681
Nigeria,442.7179313355
Niue,
Norfolk Island,
Northern Cyprus,
Northern Mariana Islands,
Norway,40584.2440258145
Oman,9723.2168871907
Pakistan,594.7668550354
Palau,6429.5858972938
Panama,4431.1280872537
Papua New Guinea,626.3082482795
Paraguay,1331.1070818674
Peru,2374.2970774841
Philippines,1185.3768803357
Pitcairn,
Poland,5223.6797757961
Portugal,11586.9625428713
Puerto Rico,18004.2760117868
Qatar,32224.0069256124
Reunion,
Romania,2260.2151388363
Russia,2442.962966138
Rwanda,275.1117623303
St. Barthélemy,
St. Helena,
St. Kitts and Nevis,10265.821867605
St. Lucia,4924.8269036021
St. Martin,
St. Vincent and the Grenadines,4532.3781705749
St.-Pierre-et-Miquelon,
Samoa,1742.1544912633
San Marino,30075.9214153378
Sao Tome and Principe,
Saudi Arabia,9439.8585366568
Senegal,540.5931402776
Serbia,1060.1868829686
Serbia and Montenegro,
Serbia excluding Kosovo,
Seychelles,7208.9682678571
Sierra Leone,234.0492591971
Singapore,28388.8696602895
Slovak Republic,6774.7320115417
Slovenia,11930.4586101965
Solomon Islands,975.6054302476
Somalia,
Somaliland,
South Africa,3397.7200150201
South Ossetia,
Spain,15700.5276097707
Sri Lanka,1009.9088693959
Sudan,427.45344217
Suriname,2359.3840935401
Svalbard,
Swaziland,1663.0105006973
Sweden,31271.1035757801
Switzerland,36737.4067167886
Syria,1330.3214146484
Taiwan,
Tajikistan,215.8970673551
Tanzania,379.68413297
Thailand,2359.6446135436
Timor-Leste,319.4914176732
Togo,252.9503502513
Tokelau,
Tonga,2115.0270685903
Transnistria,
Trinidad and Tobago,9102.4220181833
Tunisia,2653.5934680547
Turkey,4887.3703772317
Turkmenistan,784.469049002
Turks and Caicos Islands,
Tuvalu,1426.1913448799
Uganda,301.258302579
Ukraine,960.226214273
United Arab Emirates,33288.1113928384
United Kingdom,28354.0395830577
United States,37718.0053665793
Uruguay,6967.4712751925
USSR,
Uzbekistan,684.296907239
Wallis et Futuna,
Vanuatu,1355.8217226121
Venezuela,5000.0762019693
West Bank and Gaza,1056.2964908649
West Germany,
Western Sahara,
Vietnam,543.3565221819
Virgin Islands (U.S.),
North Yemen (former),
South Yemen (former),
Yemen,573.4857058841
Yugoslavia,
Zambia,359.0712373449
Zimbabwe,362.5763767856
Åland,
South Sudan,
Christian,
Coastline,
Curaçao,
Sint Maarten (Dutch part),
St. Martin (French part),
Antarctica,
"Virgin Islands, British",
Hawaiian Trade Zone,
U.S. Pacific Islands,
Wake Island,
Bonaire,
Sark,
Chinese Taipei,
Saint Eustatius,
Saba,
