country,unemployment
Australia,5.0999999046
Canada,6.6999998093
Czech Rep.,8.3000001907
Estonia,7.9000000954
Finland,8.3000001907
France,9.8999996185
Germany,11.1000003815
"Hong Kong, China",5.5999999046
Ireland,4.3000001907
Japan,4.4000000954
"Korea, Rep.",3.7000000477
Latvia,8.6000003815
Lithuania,8.1999998093
Netherlands,5.1999998093
New Zealand,3.7000000477
Norway,4.5999999046
Philippines,7.8000001907
Poland,17.7000007629
Portugal,7.5999999046
Romania,7.5
Singapore,
Slovak Republic,
Slovenia,6.5
Spain,9.1999998093
Sweden,7.8000001907
Switzerland,4.4000000954
Turkey,10.3000001907
United Kingdom,4.5999999046
United States,5.0999999046
